City,Country,Water (600ml bottle),Fast Food (Combo Meal),Movie ticket,Monthly Public Transport,Monthly Rent
Vienna,Austria,2.52,9.41,12.94,57.62,1050.5
Minsk,Belarus,0.42,3.8,3.8,15.21,399.43
Brussels,Belgium,2.43,10.58,14.11,58.8,999.09
Sofia,Bulgaria,0.72,6.02,7.23,30.11,434.79
Prague,Czech Republic,1.3,6.76,9.01,24.79,831.05
Copenhagen,Denmark,2.96,12.65,18.97,94.86,1635.1
Helsinki,Finland,2.07,9.41,17.64,70.2,1163.89
Paris,France,2.66,10.58,13.99,88.2,1435.45
Athens,Greece,0.59,7.08,9.44,35.42,460.42
Budapest,Hungary,0.89,5.24,6.31,31.14,514.82
Dublin,Ireland,1.72,10.42,14.17,165.28,1939.21
Rome,Italy,1.31,9.44,10.63,41.32,1109.73
Amsterdam,Netherlands,2.53,10.63,14.17,115.11,1895.25
Oslo,Norway,3.24,12.93,15.28,90.51,1522.69
Warsaw,Poland,0.9,5.66,7.71,28.28,796.55
Bucharest,Romania,1.46,4.8,7.21,16.82,479.02
Moscow,Russia,0.54,4.53,5.83,28.11,865.61
Belgrade,Serbia,1.22,6.02,5.02,32.63,419.91
Madrid,Spain,1.82,9.5,10.68,65.17,1058.39
Stockholm,Sweden,2.25,9.28,15.08,108.2,1458.66
Zurich,Switzerland,4.63,16.11,21.48,91.31,2154
Kiev,Ukraine,0.42,4.32,4.32,12.59,561.96
London,United Kingdom,1.55,8.3,17.98,207.46,2358.95
