Ethnicity,Proportion,Region
White,86.00%,Western Europe
Asian,7.50%,Western Europe
Black,3.30%,Western Europe
Mixed,2.20%,Western Europe
Other,1.00%,Western Europe
White,97.00%,Southern Europe
Asian,0.10%,Southern Europe
Black,1.00%,Southern Europe
Mixed,0.10%,Southern Europe
Other,5.00%,Southern Europe
White,96.00%,Northern Europe
Asian,2.20%,Northern Europe
Black,0.10%,Northern Europe
Mixed,1.20%,Northern Europe
Other,0.50%,Northern Europe
White,87.80%,Central and Eastern Europe
Asian,10.00%,Central and Eastern Europe
Black,0.10%,Central and Eastern Europe
Mixed,0.10%,Central and Eastern Europe
Other,2.00%,Central and Eastern Europe
