Country,Country Code,Region,Year,GDP Per Capita (USD),"Life expectancy at birth, total (years)",Population
Albania,ALB,Central and Eastern Europe,2010,4094.350334,76.562,2913021
Albania,ALB,Central and Eastern Europe,2011,4437.142885,76.914,2905195
Albania,ALB,Central and Eastern Europe,2012,4247.629984,77.252,2900401
Albania,ALB,Central and Eastern Europe,2013,4413.060861,77.554,2895092
Albania,ALB,Central and Eastern Europe,2014,4578.631994,77.813,2889104
Albania,ALB,Central and Eastern Europe,2015,3952.801215,78.025,2880703
Albania,ALB,Central and Eastern Europe,2016,4124.055726,78.194,2876101
Albania,ALB,Central and Eastern Europe,2017,4531.020806,78.333,2873457
Albania,ALB,Central and Eastern Europe,2018,5284.380184,78.458,2866376
Albania,ALB,Central and Eastern Europe,2019,5355.847795,78.573,2854191
Albania,ALB,Central and Eastern Europe,2020,5215.276752,78.573,2837743
Andorra,AND,Western Europe,2010,40850.24814,0,84454
Andorra,AND,Western Europe,2011,43334.81141,0,83748
Andorra,AND,Western Europe,2012,38686.46126,0,82427
Andorra,AND,Western Europe,2013,39540.72481,0,80770
Andorra,AND,Western Europe,2014,41303.92937,0,79213
Andorra,AND,Western Europe,2015,35770.7767,0,77993
Andorra,AND,Western Europe,2016,37475.63506,0,77295
Andorra,AND,Western Europe,2017,38964.90448,0,76997
Andorra,AND,Western Europe,2018,41791.96984,0,77008
Andorra,AND,Western Europe,2019,40897.33087,0,77146
Andorra,AND,Western Europe,2020,0,0,77265
Armenia,ARM,Central and Eastern Europe,2010,3218.378299,73.331,2877314
Armenia,ARM,Central and Eastern Europe,2011,3525.807198,73.572,2876536
Armenia,ARM,Central and Eastern Europe,2012,3681.844691,73.82,2884239
Armenia,ARM,Central and Eastern Europe,2013,3838.17388,74.056,2897593
Armenia,ARM,Central and Eastern Europe,2014,3986.231624,74.273,2912403
Armenia,ARM,Central and Eastern Europe,2015,3607.289299,74.467,2925559
Armenia,ARM,Central and Eastern Europe,2016,3591.828052,74.64,2936147
Armenia,ARM,Central and Eastern Europe,2017,3914.527854,74.797,2944789
Armenia,ARM,Central and Eastern Europe,2018,4220.540321,74.945,2951741
Armenia,ARM,Central and Eastern Europe,2019,4622.738182,75.087,2957728
Armenia,ARM,Central and Eastern Europe,2020,4267.452119,75.087,2963234
Austria,AUT,Western Europe,2010,46858.04327,80.5804878,8363404
Austria,AUT,Western Europe,2011,51374.95841,80.98292683,8391643
Austria,AUT,Western Europe,2012,48567.69529,80.93658537,8429991
Austria,AUT,Western Europe,2013,50716.70871,81.13658537,8479823
Austria,AUT,Western Europe,2014,51717.49594,81.4902439,8546356
Austria,AUT,Western Europe,2015,44178.04738,81.1902439,8642699
Austria,AUT,Western Europe,2016,45276.83144,81.64146341,8736668
Austria,AUT,Western Europe,2017,47309.36627,81.64390244,8797566
Austria,AUT,Western Europe,2018,51453.14702,81.69268293,8840521
Austria,AUT,Western Europe,2019,50121.55421,81.79268293,8879920
Austria,AUT,Western Europe,2020,48105.36462,81.79268293,8917205
Azerbaijan,AZE,Central and Eastern Europe,2010,5843.533768,70.938,9054332
Azerbaijan,AZE,Central and Eastern Europe,2011,7189.691229,71.234,9173082
Azerbaijan,AZE,Central and Eastern Europe,2012,7496.294648,71.506,9295784
Azerbaijan,AZE,Central and Eastern Europe,2013,7875.756953,71.768,9416801
Azerbaijan,AZE,Central and Eastern Europe,2014,7891.313147,72.022,9535079
Azerbaijan,AZE,Central and Eastern Europe,2015,5500.310382,72.266,9649341
