Rank,Country,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Quality of Life Index,Safety Index,Health Care Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
32,Albania,50.26243094,21.39104328,42.34153617,40.66585588,28.22495942,,,,,,,
10,Austria,97.20994475,67.07530648,92.06562267,103.5117057,78.65940991,106.1108204,136.5133345,103.961442,128.1507656,64.84818563,85.31334102,81.97242842
36,Belarus,47.9281768,26.26970228,41.84936614,59.19732441,35.32894109,78.39409268,134.2580992,77.96117787,172.5559482,75.73438657,167.7431757,68.26086957
9,Belgium,99.14364641,63.62271704,87.48695004,121.8303436,82.38327127,89.23193209,100.2684804,98.16453189,81.38987044,89.23722538,203.5371011,91.18769883
33,Bosnia And Herzegovina,49.68232044,16.81260946,41.87919463,38.15749468,39.94080015,70.87039944,101.9688563,69.00831903,148.1743227,65.83559615,239.6386005,85.34464475
31,Bulgaria,50.69060773,24.11808857,44.87695749,44.29917908,47.14026544,75.46950404,110.0769644,73.15462828,100.3533569,72.54998766,251.1726259,87.76246023
21,Croatia,68.64640884,33.7753315,59.50782998,64.51809061,48.1428435,92.4530496,134.7592626,82.76772745,161.7196702,71.8588003,117.1088043,94.43266172
24,Czech Republic,63.74309392,48.93670253,56.86800895,51.83946488,59.98281295,90.84249084,133.3094684,98.53426647,181.6254417,73.19180449,154.6712803,81.7921527
4,Denmark,114.640884,79.85989492,92.08053691,153.1620553,96.32388045,112.0239549,134.0612135,105.6384524,87.75029446,71.21698346,82.00692042,86.74443266
20,Estonia,70.34530387,38.55391544,54.54138702,80.48038918,68.07982431,103.389732,137.5693574,95.9593292,106.7137809,60.55294989,76.16301423,68.16542948
11,Finland,97.08563536,65.44908682,84.29530201,116.7680146,95.41678602,110.5994535,137.247181,100.0792288,98.35100118,73.80893607,44.40599769,62.42841994
7,France,102.4033149,63.52264198,101.2677107,110.2766798,76.7306407,89.51101808,95.23894756,105.6252476,153.5924617,85.80597383,167.4740484,95.70519618
16,Germany,90.13812155,67.70077558,73.42281879,93.61508057,97.7370381,104.5293331,116.6815822,96.81764162,110.4829211,76.47494446,111.6109189,88.01696713
17,Greece,76.89226519,29.22191644,62.08799403,81.69656431,41.70724721,77.37077737,106.8194022,74.22421762,124.852768,83.53492965,202.0376778,99.87274655
27,Hungary,56.42265193,34.95121341,45.89112603,52.38674369,45.40246348,74.51596023,116.1983175,63.11897531,173.9693757,88.32387065,185.6593618,84.28419936
3,Iceland,138.7845304,117.4630973,129.5898583,172.909699,75.85219135,105.6747485,137.1755862,87.04608477,79.38751472,49.61737843,62.32218378,72.96924708
6,Ireland,104.8480663,109.7823368,87.0246085,123.5025844,77.22715554,89.26681784,97.67316986,68.51974119,88.22143698,93.0140706,130.6805075,94.51749735
15,Italy,92.90055249,53.08981736,82.68456376,109.9422317,62.62770935,81.84196756,99.76731699,87.93080681,114.3698469,84.9666749,213.8792772,97.84729586
40,Kosovo (Disputed Territory),39.32320442,21.19089317,39.56748695,31.9854059,46.69149241,,,,,,,
23,Latvia,66.21546961,30.87315487,51.97613721,65.18698693,50.10980617,87.21437293,112.8512619,83.071438,104.2402827,81.18982967,129.680892,79.21527041
26,Lithuania,61.16022099,34.15061296,50.15659955,64.91334752,55.23727681,92.69143555,119.8138536,91.76020071,128.3863369,64.37916564,110.7266436,71.85577943
5,Luxembourg,113.1077348,137.4030523,103.0574198,136.5916692,99.22658264,,,,,,,
13,Malta,93.17679558,77.65824368,81.87919463,115.4454241,44.2280149,,,,,,,
37,Moldova,46.54696133,21.01576182,38.71737509,42.24688355,26.32483529,,,,,,,
30,Montenegro,52.8038674,25.96947711,42.699478,50.41045911,38.00248257,,,,,,,
8,Netherlands,101.8646409,88.01601201,83.32587621,122.347218,86.63229256,106.7910925,129.5507428,98.57388089,88.45700824,72.64872871,105.3825452,92.90562036
39,North Macedonia,43.63259669,16.23717788,37.1961223,35.43630283,35.47216652,64.22466422,109.7726866,74.44869933,148.409894,68.15601086,308.4582853,80.91198303
2,Norway,140.0966851,90.44283212,135.9284116,166.1295227,84.38842738,101.8605733,115.5718633,98.1909415,103.2979976,66.62552456,78.23913879,75.68398727
28,Poland,55.3038674,39.2044033,45.56301268,50.85132259,56.9177886,82.46409675,127.9756578,80.56252476,134.0400471,78.30165391,209.3810073,80.74231177
22,Portugal,68.39779006,54.56592444,56.88292319,64.57889936,47.19755562,94.72062329,125.9531054,94.91614948,149.5877503,74.05578869,118.7620146,103.1919406
35,Romania,48.77071823,25.14385789,43.29604773,46.3666768,46.65329896,77.004477,129.5149454,72.70566486,133.451119,85.78128857,224.6059208,82.31177094
29,Russia,54.15745856,28.42131599,46.35346756,60.21587109,37.1813234,59.48601663,105.3875067,76.04648092,126.8551237,111.8242409,241.4071511,42.79957582
