Rank,Country,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Quality of Life Index,Safety Index,Health Care Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
131,Afghanistan,33.48066298,10.08256192,26.39821029,26.42140468,26.92638213,,,,,,,
95,Albania,50.26243094,21.39104328,42.34153617,40.66585588,28.22495942,,,,,,,
119,Algeria,41.57458564,13.36002002,45.80164057,24.1562785,27.39425189,,,,,,,
108,Argentina,45.51104972,20.84063047,38.50857569,46.39708118,45.08736752,67.04459562,68.42670485,91.44328536,288.9281508,106.3441126,194.8096886,104.2205726
109,Armenia,45.35911602,27.2954716,38.19537658,46.26026148,26.73541488,,,,,,,
16,Australia,101.5745856,87.21541156,100.2684564,106.9017939,102.4634775,108.2679226,104.9579381,102.1787931,88.57479388,85.73191804,90.19607843,98.30328738
21,Austria,97.20994475,67.07530648,92.06562267,103.5117057,78.65940991,106.1108204,136.5133345,103.961442,128.1507656,64.84818563,85.31334102,81.97242842
120,Azerbaijan,41.32596685,23.71778834,35.40641312,46.15384615,28.83605462,,,,,,,
6,Bahamas,113.9640884,90.96822617,93.43773304,127.1815141,51.73302779,,,,,,,
35,Bahrain,81.40883978,77.43307481,71.75242356,82.92794162,55.26592189,,,,,,,
110,Bangladesh,44.5441989,12.5344008,44.3251305,29.20340529,31.71011172,40.71748357,64.54268838,56.51657203,154.2991755,140.0394964,331.4494425,75.59915164
12,Barbados,105,49.28696522,97.24086503,103.5877166,48.79213215,,,,,,,
101,Belarus,47.9281768,26.26970228,41.84936614,59.19732441,35.32894109,78.39409268,134.2580992,77.96117787,172.5559482,75.73438657,167.7431757,68.26086957
18,Belgium,99.14364641,63.62271704,87.48695004,121.8303436,82.38327127,89.23193209,100.2684804,98.16453189,81.38987044,89.23722538,203.5371011,91.18769883
56,Belize,67.99723757,24.36827621,62.47576435,56.32411067,54.93172921,,,,,,,
103,Bolivia,47.73480663,27.34550913,41.89410887,38.17269687,37.5632579,,,,,,,
96,Bosnia And Herzegovina,49.68232044,16.81260946,41.87919463,38.15749468,39.94080015,70.87039944,101.9688563,69.00831903,148.1743227,65.83559615,239.6386005,85.34464475
83,Botswana,54.04696133,27.82086565,47.33780761,60.77835208,55.47598587,,,,,,,
78,Brazil,55.55248619,26.64498374,43.54958986,46.7923381,31.32817722,61.42799,55.70073385,74.32985607,193.2862191,102.9375463,211.3802384,103.0328738
63,Brunei,61.75414365,57.74330748,55.34675615,57.85953177,83.02301155,,,,,,,
94,Bulgaria,50.69060773,24.11808857,44.87695749,44.29917908,47.14026544,75.46950404,110.0769644,73.15462828,100.3533569,72.54998766,251.1726259,87.76246023
59,Cambodia,65.59392265,37.27795847,66.45786726,38.29431438,10.78010121,,,,,,,
24,Canada,93.39779006,76.882662,94.97390007,96.57950745,90.79537859,95.04622362,107.9828173,94.52000528,93.87514723,83.60898544,106.9973087,53.62672322
68,Chile,60.24861878,33.50012509,54.36241611,63.19550015,40.58054044,69.63195535,98.03114373,86.41225406,175.8539458,87.48457171,252.9027297,95.66277837
80,China,55.3038674,40.98073555,60.2087994,44.32958346,58.13043063,59.77673121,122.0153929,85.14459263,342.2850412,103.2090842,310.5344098,83.9766702
116,Colombia,42.3480663,23.96797598,37.36017897,34.11371237,29.71450396,61.53264725,80.91999284,88.78911924,231.4487633,117.2303135,241.5609381,102.5344645
43,Costa Rica,74.55801105,38.90417813,73.97464579,66.14472484,40.68557242,,,,,,,
53,Croatia,68.64640884,33.7753315,59.50782998,64.51809061,48.1428435,92.4530496,134.7592626,82.76772745,161.7196702,71.8588003,117.1088043,94.43266172
69,Cuba,60.02762431,12.10908181,55.7792692,47.05077531,2.081543015,,,,,,,
36,Cyprus,80.01381215,51.38854141,65.93586875,95.94101551,54.81714886,86.01081458,125.2729551,68.33487389,96.58421673,59.12120464,205.8823529,98.40933192
61,Czechia,63.74309392,48.93670253,56.86800895,51.83946488,59.98281295,90.84249084,133.3094684,98.53426647,181.6254417,73.19180449,154.6712803,81.7921527
5,Denmark,114.640884,79.85989492,92.08053691,153.1620553,96.32388045,112.0239549,134.0612135,105.6384524,87.75029446,71.21698346,82.00692042,86.74443266
67,Dominican Republic,60.85635359,26.56992745,53.58687547,58.17877774,22.86832808,,,,,,,
76,Ecuador,56.60220994,29.92244183,52.88590604,46.60991183,34.45049174,72.76004419,87.88258457,93.21272943,149.5877503,92.69316218,219.1464821,100.2226935
121,Egypt,40.80110497,13.73530148,38.03131991,35.77075099,21.39788026,50.31687889,95.00626454,60.53083322,153.2391048,122.8832387,329.2964245,97.5397667
62,El Salvador,62.94198895,33.72529397,65.13049963,52.90361812,23.59400363,,,,,,,
50,Estonia,70.34530387,38.55391544,54.54138702,80.48038918,68.07982431,103.389732,137.5693574,95.9593292,106.7137809,60.55294989,76.16301423,68.16542948
41,Ethiopia,75.12430939,52.28921691,54.13870246,29.44664032,7.963334288,,,,,,,
60,Fiji,65.5801105,46.40980736,78.55331842,54.53025236,31.67191827,,,,,,,
