Rank,Country,Index Value,Index Type
131,Afghanistan,33.48066298,Cost of Living Index
95,Albania,50.26243094,Cost of Living Index
119,Algeria,41.57458564,Cost of Living Index
108,Argentina,45.51104972,Cost of Living Index
109,Armenia,45.35911602,Cost of Living Index
16,Australia,101.5745856,Cost of Living Index
21,Austria,97.20994475,Cost of Living Index
120,Azerbaijan,41.32596685,Cost of Living Index
6,Bahamas,113.9640884,Cost of Living Index
35,Bahrain,81.40883978,Cost of Living Index
110,Bangladesh,44.5441989,Cost of Living Index
12,Barbados,105,Cost of Living Index
101,Belarus,47.9281768,Cost of Living Index
18,Belgium,99.14364641,Cost of Living Index
56,Belize,67.99723757,Cost of Living Index
103,Bolivia,47.73480663,Cost of Living Index
96,Bosnia And Herzegovina,49.68232044,Cost of Living Index
83,Botswana,54.04696133,Cost of Living Index
78,Brazil,55.55248619,Cost of Living Index
63,Brunei,61.75414365,Cost of Living Index
94,Bulgaria,50.69060773,Cost of Living Index
59,Cambodia,65.59392265,Cost of Living Index
24,Canada,93.39779006,Cost of Living Index
68,Chile,60.24861878,Cost of Living Index
80,China,55.3038674,Cost of Living Index
116,Colombia,42.3480663,Cost of Living Index
43,Costa Rica,74.55801105,Cost of Living Index
53,Croatia,68.64640884,Cost of Living Index
69,Cuba,60.02762431,Cost of Living Index
36,Cyprus,80.01381215,Cost of Living Index
61,Czechia,63.74309392,Cost of Living Index
5,Denmark,114.640884,Cost of Living Index
67,Dominican Republic,60.85635359,Cost of Living Index
76,Ecuador,56.60220994,Cost of Living Index
121,Egypt,40.80110497,Cost of Living Index
62,El Salvador,62.94198895,Cost of Living Index
50,Estonia,70.34530387,Cost of Living Index
41,Ethiopia,75.12430939,Cost of Living Index
60,Fiji,65.5801105,Cost of Living Index
22,Finland,97.08563536,Cost of Living Index
14,France,102.4033149,Cost of Living Index
123,Georgia,39.33701657,Cost of Living Index
29,Germany,90.13812155,Cost of Living Index
91,Ghana,52.00276243,Cost of Living Index
38,Greece,76.89226519,Cost of Living Index
73,Guatemala,58.97790055,Cost of Living Index
74,Honduras,58.24585635,Cost of Living Index
11,Hong Kong,106.6574586,Cost of Living Index
77,Hungary,56.42265193,Cost of Living Index
3,Iceland,138.7845304,Cost of Living Index
130,India,33.95027624,Cost of Living Index
93,Indonesia,51.47790055,Cost of Living Index
86,Iran,53.88121547,Cost of Living Index
85,Iraq,53.92265193,Cost of Living Index
13,Ireland,104.8480663,Cost of Living Index
8,Israel,112.0856354,Cost of Living Index
28,Italy,92.90055249,Cost of Living Index
37,Jamaica,79.86187845,Cost of Living Index
4,Japan,115.1243094,Cost of Living Index
46,Jordan,74.12983425,Cost of Living Index
117,Kazakhstan,42.32044199,Cost of Living Index
79,Kenya,55.53867403,Cost of Living Index
124,Kosovo,39.32320442,Cost of Living Index
51,Kuwait,69.5718232,Cost of Living Index
127,Kyrgyzstan,37.25138122,Cost of Living Index
58,Latvia,66.21546961,Cost of Living Index
34,Lebanon,83.56353591,Cost of Living Index
66,Lithuania,61.16022099,Cost of Living Index
7,Luxembourg,113.1077348,Cost of Living Index
30,Macao,89.55801105,Cost of Living Index
84,Malaysia,54.03314917,Cost of Living Index
26,Malta,93.17679558,Cost of Living Index
48,Mauritius,73.25966851,Cost of Living Index
97,Mexico,49.33701657,Cost of Living Index
105,Moldova,46.54696133,Cost of Living Index
90,Montenegro,52.8038674,Cost of Living Index
104,Morocco,47.40331492,Cost of Living Index
75,Myanmar,58.16298343,Cost of Living Index
71,Namibia,59.53038674,Cost of Living Index
122,Nepal,40.12430939,Cost of Living Index
15,Netherlands,101.8646409,Cost of Living Index
17,New Zealand,100.179558,Cost of Living Index
64,Nicaragua,61.54696133,Cost of Living Index
115,Nigeria,42.81767956,Cost of Living Index
113,Macedonia,43.63259669,Cost of Living Index
2,Norway,140.0966851,Cost of Living Index
55,Oman,68.06629834,Cost of Living Index
132,Pakistan,30.35911602,Cost of Living Index
40,Palestine,75.33149171,Cost of Living Index
42,Panama,74.80662983,Cost of Living Index
114,Paraguay,42.9558011,Cost of Living Index
88,Peru,53.3839779,Cost of Living Index
92,Philippines,51.97513812,Cost of Living Index
81,Poland,55.3038674,Cost of Living Index
54,Portugal,68.39779006,Cost of Living Index
25,Puerto Rico,93.28729282,Cost of Living Index
31,Qatar,88.45303867,Cost of Living Index
99,Romania,48.77071823,Cost of Living Index
82,Russia,54.15745856,Cost of Living Index
106,Rwanda,46.06353591,Cost of Living Index
57,Saudi Arabia,66.7679558,Cost of Living Index
98,Serbia,49.33701657,Cost of Living Index
19,Seychelles,98.88121547,Cost of Living Index
9,Singapore,112.0165746,Cost of Living Index
65,Slovakia,61.40883978,Cost of Living Index
47,Slovenia,73.79834254,Cost of Living Index
